origin,dest,count,average_delay
OGG,SAN,310,23.15151515
OGG,OAK,272,40.27272727
OGG,ANC,41,36.91666667
PSG,JNU,269,37.37962963
PSG,WRG,268,29.86178862
OME,ANC,490,21.85365854
OME,OTZ,37,30
KOA,PDX,116,38
KOA,SEA,455,20.91538462
KOA,SJC,165,37
KOA,OAK,219,28.73684211
KOA,ANC,28,16.16666667
KOA,SAN,91,4.75
BET,ANC,730,24.56378601
TUS,SEA,285,19.22580645
ABQ,SEA,271,25.27586207
MCI,SEA,335,23.86206897
DTW,SEA,274,26.31460674
BOS,PDX,252,28.92647059
BOS,SAN,266,50.16666667
BOS,SEA,632,28.50462963
ADK,ANC,75,26.29787234
BWI,SEA,270,38.96774194
BWI,LAX,21,9
MCO,SAN,184,41.11904762
MCO,SEA,348,27.94285714
PHL,SEA,271,51.63888889
IAH,SEA,319,23.15306122
ATL,SEA,310,27.77659574
TPA,SEA,272,26.22881356
STL,SEA,338,26.96899225
MSY,SEA,270,21.20454545
FLL,SEA,272,26.25892857
SAT,SEA,272,24.87692308
AUS,SEA,339,24.30769231
YAK,CDV,268,28.54545455
YAK,JNU,268,19.71929825
CDV,ANC,268,30
CDV,YAK,268,18.97619048
ADQ,ANC,382,22.38888889
IAD,SEA,203,40.97368421
DLG,ANC,77,22.88235294
AKN,ANC,63,16.8125
GST,JNU,76,36.21568627
JFK,SEA,14,2
BNA,SEA,8,0
LAX,PBI,77,25.69767442
LAX,MIA,2143,25.30065975
LAX,DFW,4408,29.41430333
LAX,ORD,2460,24.28902439
LAX,STL,535,48.31052632
LAX,AUS,1024,27.37755102
LAX,SFO,1600,32.28546099
LAX,BOS,1087,25.02409639
LAX,JFK,3092,35.40606768
LAX,MCO,535,27.20487805
LAX,HNL,1099,50.21212121
LAX,DCA,536,26.51741294
LAX,EGE,94,28.90909091
LAX,KOA,411,25.48407643
LAX,OGG,698,30.08363636
LAX,LIH,446,28.24022346
LAX,LAS,1636,30.16398714
LAX,IAD,533,27
LAX,CMH,77,34.83333333
LAX,IND,213,21.34666667
LAX,BNA,482,20.20218579
LAX,TPA,174,23.41489362
LAX,PDX,1,20
LAX,ATL,579,25.05128205
LAX,CLT,540,26.18181818
LAX,PHL,530,22.19548872
LAX,PHX,613,23.27411168
LAX,RDU,150,31.17021277
LAX,PIT,76,36.07894737
SFO,DFW,2661,36.18110236
SFO,MIA,816,36.51840491
SFO,JFK,1208,46.59114583
SFO,LAX,1599,35.57035928
SFO,ORD,1573,29.05100182
SFO,CLT,533,17.27407407
SFO,PHL,454,24.88679245
SFO,PHX,491,25.16326531
LAS,MIA,1082,27.88405797
LAS,DFW,2806,36.75541796
LAS,ORD,1223,38.25339367
LAS,LAX,1633,42.67511177
LAS,JFK,526,58.27848101
LAS,PHL,443,30.0390625
LAS,CLT,443,21.14371257
LAS,PHX,588,34.06857143
LAS,DCA,91,32.32142857
SEA,MIA,273,21.19008264
SEA,DFW,2128,26.71568627
SEA,JFK,269,24.46551724
SEA,ORD,1221,27.60150376
SEA,CLT,320,20.54545455
SEA,PHL,318,29.57480315
SEA,PHX,482,20.57990868
DEN,MIA,629,29.58280255
DEN,DFW,2605,41.63524976
DEN,ORD,881,41.02842377
